CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"0010001",1,357,791,13,1,2
"0010002",2,205,1548,14,2,0
"0010003",3,118,746,7,2,0
"0010004",4,117,1031,8,0,0
"0010005",5,12,203,0,0,0
"0010006",6,389,388,2,4,0
"0010007",7,462,167,3,0,0
"0010008",8,92,75,3,1,0
"0010009",9,160,737,5,0,0
"0010010",10,42,327,0,0,0
"0010011",11,202,643,8,0,1
"0010013",12,316,785,9,0,0
"0010015",13,79,578,2,1,1
"0010016",14,106,519,4,2,0
"0010017",15,127,489,5,2,0
"0010018",16,215,1211,11,1,0
"0010019",17,346,1118,15,1,1
"0010020",18,180,551,11,3,0
"0010021",19,183,1086,3,1,1
"0010022",20,105,640,5,0,0
"0010023",21,99,876,2,1,0
"0010024",22,43,601,4,0,0
"0030001",23,196,1242,13,1,0
"0030002",24,233,1661,28,3,0
"0030003",25,218,1141,12,3,0
"0030004",26,202,893,7,3,0
"0050001",27,121,162,0,0,0
"0050002",28,1011,351,10,6,1
"0050003",29,234,1047,12,4,0
"0050004",30,366,452,9,1,5
"0050005",31,468,611,14,7,2
"0050006",32,51,275,0,1,0
"0050007",33,121,909,11,1,3
"0050008A",34,68,515,6,0,2
"0050008B",35,43,332,4,0,2
"0050009",36,70,152,1,1,0
"0050010A",37,344,368,6,3,2
"0050010B",38,48,53,0,0,0
"0050011",39,160,1486,6,2,1
"0050012",40,100,478,7,0,1
"0050013",41,200,219,11,1,1
"0050014",42,443,892,14,2,6
"0050015",43,73,405,4,0,0
"0050016",44,561,638,14,3,1
"0050017",45,120,1151,4,1,1
"0050018",46,144,313,3,1,1
"0050019",47,355,700,9,5,4
"0050020",48,1116,210,3,4,4
"0050021",49,209,619,7,1,1
"0050022",50,86,749,5,1,1
"0050023",51,73,412,6,0,2
"0050024",52,348,1319,15,4,4
"0050025",53,241,1287,10,3,4
"0050026",54,153,1088,6,0,1
"0050027",55,21,254,5,0,1
"0050028A",56,121,633,5,3,1
"0050028B",57,14,72,1,0,0
"0050029",58,132,949,7,1,0
"0050030",59,63,687,7,0,1
"0050031",60,58,224,2,1,1
"0050032",61,5,75,0,0,0
"0050033",62,61,893,3,2,1
"0050034",63,466,1085,20,5,6
"0050035",64,325,985,9,3,5
"0050036",65,0,0,0,0,0
"0050037",66,59,304,5,2,1
"0050038",67,49,241,2,0,0
"0050039",68,108,233,3,1,0
"0050040",69,200,332,1,1,0
